iter	Passed	Remaining
431	2036	2678
432	2037	2668
433	2038	2658
434	2039	2649
435	2040	2639
436	2041	2630
437	2048	2628
438	2049	2619
439	2051	2610
440	2052	2602
441	2054	2593
442	2055	2584
443	2056	2575
444	2057	2565
445	2063	2563
446	2065	2555
447	2066	2546
448	2067	2537
449	2068	2528
450	2069	2519
451	2070	2510
452	2071	2501
453	2075	2496
454	2078	2490
455	2080	2481
456	2082	2473
457	2082	2465
458	2083	2456
459	2084	2447
460	2085	2438
461	2086	2429
462	2087	2420
463	2093	2418
464	2095	2411
465	2096	2402
466	2097	2394
467	2098	2386
468	2100	2377
469	2101	2369
470	2101	2360
471	2107	2357
472	2111	2352
473	2113	2344
474	2114	2336
475	2115	2328
476	2116	2321
477	2125	2321
478	2128	2315
479	2130	2307
480	2131	2299
481	2132	2291
482	2133	2283
483	2140	2281
484	2141	2274
485	2142	2266
486	2144	2258
487	2145	2250
488	2146	2242
489	2146	2234
490	2147	2226
491	2148	2218
492	2156	2217
493	2158	2210
494	2159	2202
495	2160	2195
496	2161	2187
497	2162	2179
498	2162	2171
499	2163	2163
500	2170	2161
501	2171	2154
502	2173	2147
503	2174	2139
504	2175	2132
505	2176	2124
506	2177	2117
507	2178	2109
508	2179	2102
509	2184	2098
510	2187	2092
511	2188	2085
512	2189	2078
513	2190	2070
514	2191	2063
515	2192	2056
516	2193	2049
517	2194	2042
518	2201	2039
519	2202	2032
520	2203	2025
521	2204	2018
522	2205	2011
523	2206	2004
524	2207	1997
525	2209	1991
526	2213	1986
527	2216	1981
528	2218	1975
529	2219	1968
530	2221	1961
531	2222	1955
532	2223	1948
533	2224	1941
534	2230	1938
535	2232	1932
536	2234	1926
537	2235	1920
538	2237	1913
539	2239	1907
540	2240	1901
541	2243	1895
542	2245	1889
543	2246	1883
544	2247	1876
545	2256	1876
546	2260	1871
547	2261	1865
548	2263	1859
549	2270	1857
550	2271	1851
551	2279	1850
552	2287	1848
553	2288	1842
554	2292	1838
555	2294	1832
556	2302	1831
557	2303	1824
558	2304	1818
559	2306	1812
560	2308	1806
561	2310	1800
562	2318	1799
563	2320	1794
564	2321	1787
565	2325	1783
566	2329	1778
567	2332	1773
568	2333	1767
569	2334	1761
570	2335	1754
571	2336	1748
572	2340	1743
573	2348	1742
574	2349	1736
575	2350	1729
576	2351	1723
577	2353	1718
578	2355	1712
579	2356	1706
580	2363	1704
581	2364	1698
582	2365	1691
583	2366	1685
584	2371	1682
585	2375	1677
586	2377	1673
587	2379	1667
588	2380	1661
589	2381	1655
590	2383	1649
591	2384	1643
592	2385	1637
593	2386	1631
594	2394	1629
595	2395	1623
596	2396	1617
597	2397	1611
598	2398	1605
599	2399	1599
600	2400	1593
601	2401	1587
602	2402	1581
603	2408	1579
604	2409	1573
605	2410	1567
606	2411	1561
607	2413	1555
608	2414	1549
609	2415	1544
610	2416	1538
611	2417	1532
612	2422	1529
613	2423	1523
614	2424	1518
615	2425	1512
616	2431	1509
617	2432	1503
618	2436	1499
619	2438	1494
620	2439	1488
621	2440	1482
622	2440	1477
623	2441	1471
624	2442	1465
625	2443	1460
626	2444	1454
627	2445	1448
628	2446	1443
629	2447	1437
630	2448	1431
631	2451	1427
632	2453	1422
633	2453	1416
634	2454	1411
635	2455	1405
636	2456	1400
637	2457	1394
638	2458	1389
639	2459	1383
640	2460	1378
641	2464	1374
642	2465	1368
643	2466	1363
644	2467	1357
645	2468	1352
646	2469	1347
647	2469	1341
648	2471	1336
649	2471	1331
650	2472	1325
651	2473	1320
652	2474	1315
653	2475	1309
654	2479	1305
655	2481	1301
656	2482	1295
657	2482	1290
658	2483	1285
659	2485	1280
660	2486	1274
661	2486	1269
662	2487	1264
663	2488	1259
664	2489	1254
665	2490	1249
666	2494	1245
667	2496	1240
668	2497	1235
669	2498	1230
670	2499	1225
671	2499	1220
672	2501	1215
673	2501	1210
674	2502	1205
675	2503	1200
676	2504	1195
677	2505	1190
678	2509	1186
679	2511	1181
680	2512	1176
681	2513	1172
682	2514	1167
683	2515	1162
684	2517	1157
685	2518	1152
686	2519	1147
687	2520	1143
688	2524	1139
689	2525	1134
690	2526	1129
691	2527	1125
692	2528	1120
693	2529	1115
694	2530	1110
695	2531	1105
696	2532	1100
697	2533	1096
698	2534	1091
699	2535	1086
700	2539	1083
701	2540	1078
702	2542	1073
703	2542	1069
704	2543	1064
705	2544	1059
706	2545	1055
707	2546	1050
708	2547	1045
709	2548	1041
710	2549	1036
711	2553	1032
712	2554	1028
713	2555	1023
714	2556	1019
715	2557	1014
716	2558	1009
717	2559	1005
718	2560	1000
719	2561	996
720	2562	991
721	2563	986
722	2564	982
723	2565	977
724	2569	974
725	2570	970
726	2571	965
727	2572	961
728	2573	956
729	2574	952
730	2575	947
731	2576	943
732	2577	938
733	2578	934
734	2578	929
735	2579	925
736	2582	921
737	2584	917
738	2586	913
739	2586	908
740	2587	904
741	2588	900
742	2589	895
743	2590	891
744	2591	887
745	2592	882
746	2593	878
747	2594	874
748	2598	870
749	2600	866
750	2601	862
751	2602	858
752	2604	854
753	2605	849
